timestamp,datetime,camera_id,track_id,level,tier,risk_score,p_threat,triggered_rules
1786102498.6488059,2026-08-07T17:04:58,CAM_01,4,1,normal,0.0,0.0,
1786102499.079589,2026-08-07T17:04:59,CAM_01,4,1,normal,0.0,0.0,
1786102500.1709542,2026-08-07T17:05:00,CAM_01,4,1,normal,0.0,0.0,
1786102500.9607503,2026-08-07T17:05:00,CAM_01,4,1,normal,0.0,0.0,
1786102501.3190098,2026-08-07T17:05:01,CAM_01,4,1,normal,0.0,0.0,
1786102510.7711043,2026-08-07T17:05:10,CAM_01,8,1,normal,0.0,0.0,
1786102516.6375434,2026-08-07T17:05:16,CAM_01,8,1,normal,0.0,0.0,
1786102518.0529997,2026-08-07T17:05:18,CAM_01,8,1,normal,0.0,0.0,
1786102518.4049144,2026-08-07T17:05:18,CAM_01,8,1,normal,0.0,0.0,
1786102548.5657334,2026-08-07T17:05:48,CAM_01,10,1,normal,0.0,0.0,
1786102549.3020265,2026-08-07T17:05:49,CAM_01,10,1,normal,0.0,0.0,
1786102565.1225657,2026-08-07T17:06:05,CAM_01,13,1,normal,0.0,0.0,
1786102566.229715,2026-08-07T17:06:06,CAM_01,13,1,normal,0.0,0.0,
1786102722.2744923,2026-08-07T17:08:42,CAM_01,2,1,normal,0.0,0.0,
1786102723.198827,2026-08-07T17:08:43,CAM_01,2,1,normal,0.0,0.0,
1786102723.4740303,2026-08-07T17:08:43,CAM_01,2,1,normal,0.0,0.0,
1786102723.7539952,2026-08-07T17:08:43,CAM_01,2,1,normal,0.0,0.0,
1786102724.0534458,2026-08-07T17:08:44,CAM_01,2,1,normal,0.0,0.0,
1786102724.3329039,2026-08-07T17:08:44,CAM_01,2,1,normal,0.0,0.0,
1786102724.6185613,2026-08-07T17:08:44,CAM_01,2,1,normal,0.0,0.0,
1786102724.9040458,2026-08-07T17:08:44,CAM_01,2,1,normal,0.0,0.0,
1786102725.1794293,2026-08-07T17:08:45,CAM_01,2,1,normal,0.0,0.0,
1786102725.4675949,2026-08-07T17:08:45,CAM_01,2,1,normal,0.0,0.0,
1786102725.766388,2026-08-07T17:08:45,CAM_01,2,1,normal,0.0,0.0,
1786102726.0561454,2026-08-07T17:08:46,CAM_01,2,1,normal,0.0,0.0,
1786102726.90149,2026-08-07T17:08:46,CAM_01,2,1,normal,0.0,0.0,
1786102727.456573,2026-08-07T17:08:47,CAM_01,2,1,normal,0.0,0.0,
1786102727.7387345,2026-08-07T17:08:47,CAM_01,2,1,normal,0.0,0.0,
1786102728.014002,2026-08-07T17:08:48,CAM_01,2,1,normal,0.0,0.0,
1786102728.7360082,2026-08-07T17:08:48,CAM_01,2,1,normal,0.0,0.0,
1786102729.0122736,2026-08-07T17:08:49,CAM_01,2,1,normal,0.0,0.0,
1786102729.296785,2026-08-07T17:08:49,CAM_01,2,1,normal,0.0,0.0,
1786102729.5831416,2026-08-07T17:08:49,CAM_01,2,1,normal,0.0,0.0,
1786102729.8608823,2026-08-07T17:08:49,CAM_01,2,1,normal,0.0,0.0,
1786102730.1437602,2026-08-07T17:08:50,CAM_01,2,1,normal,0.0,0.0,
1786102730.4316416,2026-08-07T17:08:50,CAM_01,2,1,normal,0.0,0.0,
1786102730.7161007,2026-08-07T17:08:50,CAM_01,2,1,normal,0.0,0.0,
1786102730.9935005,2026-08-07T17:08:50,CAM_01,2,1,normal,0.0,0.0,
1786102731.2793968,2026-08-07T17:08:51,CAM_01,2,1,normal,0.0,0.0,
1786102731.5673723,2026-08-07T17:08:51,CAM_01,2,1,normal,0.0,0.0,
1786102731.8520458,2026-08-07T17:08:51,CAM_01,2,1,normal,0.0,0.0,
1786102732.1282496,2026-08-07T17:08:52,CAM_01,2,1,normal,0.0,0.0,
1786102732.4151094,2026-08-07T17:08:52,CAM_01,2,1,normal,0.0,0.0,
1786102732.708361,2026-08-07T17:08:52,CAM_01,2,1,normal,0.0,0.0,
1786102732.9952111,2026-08-07T17:08:52,CAM_01,2,1,normal,0.0,0.0,
1786102733.290745,2026-08-07T17:08:53,CAM_01,2,1,normal,0.0,0.0,
1786102733.5692627,2026-08-07T17:08:53,CAM_01,2,1,normal,0.0,0.0,
1786102733.8496404,2026-08-07T17:08:53,CAM_01,2,1,normal,0.0,0.0,
1786102734.1272078,2026-08-07T17:08:54,CAM_01,2,1,normal,0.0,0.0,
1786102734.4126568,2026-08-07T17:08:54,CAM_01,2,1,normal,0.0,0.0,
1786102734.6879601,2026-08-07T17:08:54,CAM_01,2,1,normal,0.0,0.0,
1786102734.9705784,2026-08-07T17:08:54,CAM_01,2,1,normal,0.0,0.0,
1786102735.2479174,2026-08-07T17:08:55,CAM_01,2,1,normal,0.0,0.0,
1786102735.5349052,2026-08-07T17:08:55,CAM_01,2,1,normal,0.0,0.0,
1786102735.819881,2026-08-07T17:08:55,CAM_01,2,1,normal,0.0,0.0,
1786102736.1332138,2026-08-07T17:08:56,CAM_01,2,1,normal,0.0,0.0,
1786102736.4274392,2026-08-07T17:08:56,CAM_01,2,1,normal,0.0,0.0,
1786102736.8806682,2026-08-07T17:08:56,CAM_01,2,1,normal,0.0,0.0,
1786102737.4656153,2026-08-07T17:08:57,CAM_01,2,1,normal,0.0,0.0,
1786102737.755311,2026-08-07T17:08:57,CAM_01,2,1,normal,0.0,0.0,
1786102738.0417643,2026-08-07T17:08:58,CAM_01,2,1,normal,0.0,0.0,
1786102738.3198516,2026-08-07T17:08:58,CAM_01,2,1,normal,0.0,0.0,
1786102738.602805,2026-08-07T17:08:58,CAM_01,2,1,normal,0.0,0.0,
1786102738.880823,2026-08-07T17:08:58,CAM_01,2,1,normal,0.0,0.0,
1786102739.173927,2026-08-07T17:08:59,CAM_01,2,1,normal,0.0,0.0,
1786102739.4651809,2026-08-07T17:08:59,CAM_01,2,1,normal,0.0,0.0,
1786102739.7564447,2026-08-07T17:08:59,CAM_01,2,1,normal,0.0,0.0,
1786102740.041464,2026-08-07T17:09:00,CAM_01,2,1,normal,0.0,0.0,
1786102740.3283489,2026-08-07T17:09:00,CAM_01,2,1,normal,0.0,0.0,
1786102740.6133292,2026-08-07T17:09:00,CAM_01,2,1,normal,0.0,0.0,
1786102740.8982954,2026-08-07T17:09:00,CAM_01,2,1,normal,0.0,0.0,
1786102741.174739,2026-08-07T17:09:01,CAM_01,2,1,normal,0.0,0.0,
1786102741.4681115,2026-08-07T17:09:01,CAM_01,2,1,normal,0.0,0.0,
1786102741.7456145,2026-08-07T17:09:01,CAM_01,2,1,normal,0.0,0.0,
1786102742.0208268,2026-08-07T17:09:02,CAM_01,2,1,normal,0.0,0.0,
1786102742.3059888,2026-08-07T17:09:02,CAM_01,2,1,normal,0.0,0.0,
1786102742.5944612,2026-08-07T17:09:02,CAM_01,2,1,normal,0.0,0.0,
1786102742.8789783,2026-08-07T17:09:02,CAM_01,2,1,normal,0.0,0.0,
1786102743.1622002,2026-08-07T17:09:03,CAM_01,2,1,normal,0.0,0.0,
1786102743.4494467,2026-08-07T17:09:03,CAM_01,2,1,normal,0.0,0.0,
1786102755.940473,2026-08-07T17:09:15,CAM_01,8,1,normal,0.0,0.0,
1786102763.7869785,2026-08-07T17:09:23,CAM_01,11,1,normal,0.0,0.0,
1786102764.0689964,2026-08-07T17:09:24,CAM_01,11,1,normal,0.0,0.0,
1786102764.3551972,2026-08-07T17:09:24,CAM_01,11,1,normal,0.0,0.0,
1786102764.6412811,2026-08-07T17:09:24,CAM_01,11,1,normal,0.0,0.0,
1786102764.9290555,2026-08-07T17:09:24,CAM_01,11,1,normal,0.0,0.0,
1786102765.2050872,2026-08-07T17:09:25,CAM_01,11,1,normal,0.0,0.0,
1786102765.4902325,2026-08-07T17:09:25,CAM_01,11,1,normal,0.0,0.0,
1786102766.05232,2026-08-07T17:09:26,CAM_01,11,1,normal,0.0,0.0,
1786102766.6245213,2026-08-07T17:09:26,CAM_01,11,1,normal,0.0,0.0,
1786102766.9102006,2026-08-07T17:09:26,CAM_01,11,1,normal,0.0,0.0,
1786102767.1934714,2026-08-07T17:09:27,CAM_01,11,1,normal,0.0,0.0,
1786102767.4800634,2026-08-07T17:09:27,CAM_01,11,1,normal,0.0,0.0,
1786102767.7643867,2026-08-07T17:09:27,CAM_01,11,1,normal,0.0,0.0,
1786102768.0493057,2026-08-07T17:09:28,CAM_01,11,1,normal,0.0,0.0,
1786102768.3512216,2026-08-07T17:09:28,CAM_01,11,1,normal,0.0,0.0,
1786102768.6411934,2026-08-07T17:09:28,CAM_01,11,1,normal,0.0,0.0,
1786102768.9177485,2026-08-07T17:09:28,CAM_01,11,1,normal,0.0,0.0,
1786102769.2032964,2026-08-07T17:09:29,CAM_01,11,1,normal,0.0,0.0,
1786102769.6512177,2026-08-07T17:09:29,CAM_01,11,1,normal,0.0,0.0,
1786102769.928935,2026-08-07T17:09:29,CAM_01,11,1,normal,0.0,0.0,
1786102770.2143629,2026-08-07T17:09:30,CAM_01,11,1,normal,0.0,0.0,
1786102772.4329486,2026-08-07T17:09:32,CAM_01,11,1,normal,0.0,0.0,
1786102772.7126074,2026-08-07T17:09:32,CAM_01,11,1,normal,0.0,0.0,
1786102772.9936082,2026-08-07T17:09:32,CAM_01,11,1,normal,0.0,0.0,
1786102773.2741487,2026-08-07T17:09:33,CAM_01,11,1,normal,0.0,0.0,
1786102773.5654058,2026-08-07T17:09:33,CAM_01,11,1,normal,0.0,0.0,
1786102773.8477569,2026-08-07T17:09:33,CAM_01,11,1,normal,0.0,0.0,
1786102774.123333,2026-08-07T17:09:34,CAM_01,11,1,normal,0.0,0.0,
